created,text,retweetCount
2017-07-06 10:31:10,"RT @hindustanse: @Shehla_Rashid ISIS bibi at JNU after #Demonetisation no one is paying u?, so no protection? U know that disease can affec…",53
2017-07-06 10:30:15,"RT @iamrahulsharma0: @AamAadmiParty 
 👇👇
Demonetisation-death in banks.
After GST death in mall,restaurant Cz of tax
It's a draconic decisi…",251
2017-07-06 10:29:55,"RT @prasannavishy: After DeMonetisation and GST, Jaitley says cleaning political funding will be the next big reform. https://t.co/A9rNB5vL…",18
2017-07-06 10:29:38,"RT @SitaramYechury: Claim was that Demonetisation will lead to more digital transactions, less black money and absence of terror. But this…",172
2017-07-06 10:29:11,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:28:44,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:28:24,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:28:21,RT @RaisinaSeries: Double blow from demonetisation &amp; GST will play out over next 6 months with reduced econ growth. BJP will compensate by…,183
2017-07-06 10:27:56,RT @RaisinaSeries: Double blow from demonetisation &amp; GST will play out over next 6 months with reduced econ growth. BJP will compensate by…,183
2017-07-06 10:27:52,RT @RomeshNadir: Huge discomfort surfacing vividly for @_sabanaqvi unable to swallow &amp; digest d response of d Traders to #Demonetisation &amp;…,64
2017-07-06 10:27:34,"RT @hindustanse: @Shehla_Rashid ISIS bibi at JNU after #Demonetisation no one is paying u?, so no protection? U know that disease can affec…",53
2017-07-06 10:27:21,"RT @hindustanse: @Shehla_Rashid ISIS bibi at JNU after #Demonetisation no one is paying u?, so no protection? U know that disease can affec…",53
2017-07-06 10:27:21,Who is this guy? Blabbering what qualifications? Our FM aka DM is way better than a Nobel Prize. #demonetization    https://t.co/WU3uDCcXgX,2
2017-07-06 10:27:07,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/vK1CMnBOC7",40
2017-07-06 10:27:07,"It is government which showing itself in inertia of doubtful implementations wrt GST,like demonetisation,leave opposition!#GST_दिल्लीसम्बोधन",0
2017-07-06 10:27:02,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/f4GamFETvv",25
2017-07-06 10:26:54,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/qvuebu8oUb",51
2017-07-06 10:26:48,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 10:26:33,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:26:29,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:26:21,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 10:26:20,RT @RaisinaSeries: Double blow from demonetisation &amp; GST will play out over next 6 months with reduced econ growth. BJP will compensate by…,183
2017-07-06 10:25:26,RT @vox_dev: Abhijit Banerjee &amp; Namrata Kala look at the consequences of #demonetisation in #India https://t.co/SwyhsfT7ma,4
2017-07-06 10:25:09,"RT @prasannavishy: After DeMonetisation and GST, Jaitley says cleaning political funding will be the next big reform. https://t.co/A9rNB5vL…",18
2017-07-06 10:24:59,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:24:58,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:24:51,RT @bsindia: Edit: Currency in circulation is getting closer to pre demonetisation levels and digital transactions are slowing. https://t.c…,96
2017-07-06 10:24:50,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:24:45,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:24:21,"RT @firstpost: Diagnosing what limits the economic expansion, #PaulKrugman blamed sudden #demonetisation announced on 8 November https://t.…",23
2017-07-06 10:24:15,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:24:13,"RT @KapilSibalteam: BJP promised 2 crore jobs but now focus is firmly on destroying livelihoods, demonetisation and ill-planned GST.
@Kapil…",74
2017-07-06 10:23:46,"RT @KapilSibalteam: Both demonetisation and GST were implemented at the stroke of midnight,it's quite possible that Modi &amp; co must have bee…",22
